59,73,78,3.5,4,35,77,24.5,0,16,79,41,0
56,65.5,77.5,7,9.5,33.5,72.5,25.5,3,15.5,76,41.5,1
52.5,58,77.5,11,14.5,31.5,67,27,6,14,73.5,42.5,2.5
47.5,50.5,77.5,15,18.5,29,62.5,29,8.5,13,70.5,44,3.5
42,43.5,77.5,20.5,23,26,57.5,31.5,10.5,11,67.5,45,4
36,37,,25,26.5,23,53,34,12.5,9,64,47,4.5
30,30.5,,30.5,29.5,19,49,37,14,6.5,61.5,48.5,5
23.5,23.5,,36.5,32,15.5,44.5,40,15.5,4.5,58.5,50.5,5.5
16.5,18.5,,42,34,11,41,43.5,16.5,2,56,52.5,
9,13.5,,48.5,35,7,37,47,17,,53.5,55,
1,9,,55,36,2,34,51,17,,51,57,
,5.5,,61.5,36,,31,54,17,,49,59.5,
,2.5,,67.5,36,,29,58.5,,,47,62,
,0,,73,,,27,62,,,45,64,
,,,79,,,25,66,,,43.5,66,
,,,,,,24,70,,,42.5,67,
,,,,,,23.5,73.5,,,41.5,68.5,
,,,,,,23.5,77,,,41,71,
,,,,,,23.5,,,,40.5,73,
,,,,,,24.5,,,,40.5,75,
,,,,,,,,,,40.5,76.5,
,,,,,,,,,,,78.5,
